N,Time (ms)
2213,18447
2214,18486
2215,18486
2216,18486
2217,18486
2218,18525
2219,18525
2220,18525
2221,18525
2222,18525
2223,18564
2224,18564
2225,18603
2226,18564
2227,18564
2228,18603
2229,18564
2230,18603
2231,18603
2232,18603
2233,18603
2234,18603
2235,18642
2236,18642
2237,18642
2238,18642
2239,18681
2240,18681
2241,18681
2242,18681
2243,18681
2244,18720
2245,18720
2246,18759
2247,18720
2248,18759
2249,18759
2250,18798
2251,18759
2252,18798
2253,18798
2254,18798
2255,18798
2256,18798
2257,18798
2258,18837
2259,18837
2260,18837
2261,18876
2262,18876
2263,18876
2264,18876
2265,18915
2266,18915
2267,18915
2268,18915
2269,18915
2270,18954
2271,18993
2272,18993
2273,18954
2274,18954
2275,18993
2276,18993
2277,18993
2278,18993
2279,18993
2280,19032
2281,19032
2282,19032
2283,19071
2284,19032
2285,19071
2286,19071
2287,19071
2288,19110
2289,19110
2290,19071
2291,19071
2292,19110
2293,19110
2294,19149
2295,19149
2296,19149
2297,19188
2298,19188
2299,40696
2300,19110
2301,19032
2302,18993
2303,20163
2304,19344
2305,19032
2306,19032
2307,20124
2308,19227
2309,19110
2310,19071
2311,19305
2312,19188
2313,19227
2314,19383
2315,19071
2316,20241
2317,19149
2318,19149
2319,19110
2320,19188
2321,19227
2322,19188
2323,19188
2324,19227
2325,19188
2326,19227
2327,19227
2328,19266
2329,19227
2330,19266
2331,19266
2332,19266
2333,19227
2334,19305
2335,19305
2336,19305
2337,19266
2338,19305
2339,19344
2340,19344
2341,19305
2342,19344
2343,19344
2344,19383
2345,19383
2346,19422
2347,19383
2348,19422
2349,20514
2350,19968
2351,19890
2352,19461
2353,19383
2354,19344
2355,19422
2356,19422
2357,19461
2358,19578
2359,19695
2360,19500
2361,19461
2362,19539
2363,19500
2364,19539
2365,19539
2366,19539
2367,19578
2368,19578
2369,19539
2370,19578
2371,20826
2372,19617
2373,19617
2374,24492
2375,24375
2376,20904
2377,26208
2378,23790
2379,19656
2380,19656
2381,19695
2382,19695
2383,19695
2384,19734
2385,19695
2386,19695
2387,19695
2388,19734
2389,19695
2390,19734
2391,19734
2392,19773
2393,19773
2394,19773
2395,19773
2396,19812
2397,19812
2398,19812
2399,19812
2400,19851
2401,19851
2402,19851
2403,19890
2404,19851
2405,19890
2406,19890
2407,19890
2408,19890
2409,19890
2410,19968
2411,19929
2412,19968
2413,19929
2414,19929
2415,19968
2416,19968
2417,20007
2418,19968
2419,20007
2420,20007
2421,20046
2422,20046
2423,20046
2424,20046
2425,20046
2426,20085
2427,20085
2428,20085
2429,20085
2430,20085
2431,20085
2432,20085
2433,20046
2434,20085
2435,20124
2436,20163
2437,20163
2438,20163
2439,20163
2440,20163
2441,20163
2442,20163
2443,20163
2444,20202
2445,20202
2446,20202
2447,20202
2448,20202
2449,20202
2450,20280
2451,20241
2452,20241
2453,20280
2454,20319
2455,20280
2456,20280
2457,20358
2458,20280
2459,20358
2460,20358
2461,20358
2462,20397
2463,20358
2464,20358
2465,20358
2466,20397
2467,20358
2468,20397
2469,20436
2470,20436
2471,20436
2472,20436
2473,20436
2474,20436
2475,20436
2476,20475
2477,20475
2478,20475
2479,20514
2480,20475
2481,25896
2482,20475
2483,20514
2484,20514
2485,20553
2486,20553
2487,20553
2488,20553
2489,20553
2490,20553
2491,20592
2492,20592
2493,20592
2494,20631
2495,20592
2496,20670
2497,20631
2498,20631
2499,20631
2500,20631
2501,20670
2502,20709
2503,20670
2504,20709
2505,20709
2506,20670
2507,20709
2508,20709
